sequential reference,1,10,0.000313
recursive parallel merge,8,10,0.001346
binary search based parallel merge,8,10,0.001271
recursive parallel merge,16,10,0.002319
binary search based parallel merge,16,10,0.003203
recursive parallel merge,32,10,0.004291
binary search based parallel merge,32,10,0.005693
recursive parallel merge,33,10,0.004621
binary search based parallel merge,33,10,0.008708
recursive parallel merge,48,10,0.008516
binary search based parallel merge,48,10,0.010491
sequential reference,1,100,0.000227
recursive parallel merge,8,100,0.001240
binary search based parallel merge,8,100,0.001496
recursive parallel merge,16,100,0.002332
binary search based parallel merge,16,100,0.002946
recursive parallel merge,32,100,0.004102
binary search based parallel merge,32,100,0.006518
recursive parallel merge,33,100,0.004549
binary search based parallel merge,33,100,0.006401
recursive parallel merge,48,100,0.008088
binary search based parallel merge,48,100,0.012566
sequential reference,1,1000000,0.016104
recursive parallel merge,8,1000000,0.004788
binary search based parallel merge,8,1000000,0.006125
recursive parallel merge,16,1000000,0.006230
binary search based parallel merge,16,1000000,0.006215
recursive parallel merge,32,1000000,0.007891
binary search based parallel merge,32,1000000,0.006853
recursive parallel merge,33,1000000,0.008430
binary search based parallel merge,33,1000000,0.008485
recursive parallel merge,48,1000000,0.013426
binary search based parallel merge,48,1000000,0.013567
sequential reference,1,1111111,0.017870
recursive parallel merge,8,1111111,0.006510
binary search based parallel merge,8,1111111,0.005077
recursive parallel merge,16,1111111,0.005605
binary search based parallel merge,16,1111111,0.005293
recursive parallel merge,32,1111111,0.008439
binary search based parallel merge,32,1111111,0.008451
recursive parallel merge,33,1111111,0.008215
binary search based parallel merge,33,1111111,0.010225
recursive parallel merge,48,1111111,0.012919
binary search based parallel merge,48,1111111,0.017295
sequential reference,1,100000000,1.648543
recursive parallel merge,8,100000000,0.219041
binary search based parallel merge,8,100000000,0.219135
recursive parallel merge,16,100000000,0.186205
binary search based parallel merge,16,100000000,0.122198
recursive parallel merge,32,100000000,0.118486
binary search based parallel merge,32,100000000,0.092832
recursive parallel merge,33,100000000,0.082874
binary search based parallel merge,33,100000000,0.131061
recursive parallel merge,48,100000000,0.117803
binary search based parallel merge,48,100000000,0.106347
sequential reference,1,10,0.000293
recursive parallel merge,8,10,0.001426
binary search based parallel merge,8,10,0.001521
recursive parallel merge,16,10,0.002643
binary search based parallel merge,16,10,0.002989
recursive parallel merge,32,10,0.004177
binary search based parallel merge,32,10,0.005042
recursive parallel merge,33,10,0.004336
binary search based parallel merge,33,10,0.005814
recursive parallel merge,48,10,0.008487
binary search based parallel merge,48,10,0.011226
sequential reference,1,100,0.000266
recursive parallel merge,8,100,0.001247
binary search based parallel merge,8,100,0.001400
recursive parallel merge,16,100,0.002146
binary search based parallel merge,16,100,0.002956
recursive parallel merge,32,100,0.004534
binary search based parallel merge,32,100,0.006376
recursive parallel merge,33,100,0.004509
binary search based parallel merge,33,100,0.005473
recursive parallel merge,48,100,0.008543
binary search based parallel merge,48,100,0.013640
sequential reference,1,1000000,0.016053
recursive parallel merge,8,1000000,0.005031
binary search based parallel merge,8,1000000,0.004173
recursive parallel merge,16,1000000,0.004516
binary search based parallel merge,16,1000000,0.005799
recursive parallel merge,32,1000000,0.007283
binary search based parallel merge,32,1000000,0.008433
recursive parallel merge,33,1000000,0.007318
binary search based parallel merge,33,1000000,0.007524
recursive parallel merge,48,1000000,0.013668
binary search based parallel merge,48,1000000,0.012474
sequential reference,1,1111111,0.018174
recursive parallel merge,8,1111111,0.004585
binary search based parallel merge,8,1111111,0.004721
recursive parallel merge,16,1111111,0.005348
binary search based parallel merge,16,1111111,0.005582
recursive parallel merge,32,1111111,0.007578
binary search based parallel merge,32,1111111,0.010918
recursive parallel merge,33,1111111,0.008168
binary search based parallel merge,33,1111111,0.010602
recursive parallel merge,48,1111111,0.041785
binary search based parallel merge,48,1111111,0.014990
sequential reference,1,100000000,1.664911
recursive parallel merge,8,100000000,0.219280
binary search based parallel merge,8,100000000,0.220092
recursive parallel merge,16,100000000,0.182765
binary search based parallel merge,16,100000000,0.123546
recursive parallel merge,32,100000000,0.116081
binary search based parallel merge,32,100000000,0.133709
recursive parallel merge,33,100000000,0.094398
binary search based parallel merge,33,100000000,0.121849
recursive parallel merge,48,100000000,0.101537
binary search based parallel merge,48,100000000,0.122054
sequential reference,1,10,0.000312
recursive parallel merge,8,10,0.001328
binary search based parallel merge,8,10,0.001534
recursive parallel merge,16,10,0.002417
binary search based parallel merge,16,10,0.002860
recursive parallel merge,32,10,0.004292
binary search based parallel merge,32,10,0.005759
recursive parallel merge,33,10,0.004747
binary search based parallel merge,33,10,0.005737
recursive parallel merge,48,10,0.009191
binary search based parallel merge,48,10,0.010897
sequential reference,1,100,0.000240
recursive parallel merge,8,100,0.001222
binary search based parallel merge,8,100,0.001389
recursive parallel merge,16,100,0.002230
binary search based parallel merge,16,100,0.002926
recursive parallel merge,32,100,0.004722
binary search based parallel merge,32,100,0.005956
recursive parallel merge,33,100,0.004557
binary search based parallel merge,33,100,0.005941
recursive parallel merge,48,100,0.008691
binary search based parallel merge,48,100,0.010102
sequential reference,1,1000000,0.016308
recursive parallel merge,8,1000000,0.004393
binary search based parallel merge,8,1000000,0.005475
recursive parallel merge,16,1000000,0.006624
binary search based parallel merge,16,1000000,0.006482
recursive parallel merge,32,1000000,0.006748
binary search based parallel merge,32,1000000,0.010587
recursive parallel merge,33,1000000,0.008048
binary search based parallel merge,33,1000000,0.008440
recursive parallel merge,48,1000000,0.014684
binary search based parallel merge,48,1000000,0.043752
sequential reference,1,1111111,0.018058
recursive parallel merge,8,1111111,0.005475
binary search based parallel merge,8,1111111,0.005771
recursive parallel merge,16,1111111,0.005915
binary search based parallel merge,16,1111111,0.006953
recursive parallel merge,32,1111111,0.008223
binary search based parallel merge,32,1111111,0.008797
recursive parallel merge,33,1111111,0.008095
binary search based parallel merge,33,1111111,0.010351
recursive parallel merge,48,1111111,0.014139
binary search based parallel merge,48,1111111,0.012733
sequential reference,1,100000000,1.660645
recursive parallel merge,8,100000000,0.219394
binary search based parallel merge,8,100000000,0.221118
recursive parallel merge,16,100000000,0.146245
binary search based parallel merge,16,100000000,0.148411
recursive parallel merge,32,100000000,0.119410
