recursive,2,10,14
recursive,2,100,190
recursive,2,1000000,1999973
recursive,2,1111111,2222191
recursive,2,2000000,3999972
recursive,2,5000000,9999969
recursive,2,6666666,13333296
recursive,2,100000000,199999961
iterative,2,10,14
iterative,2,100,190
iterative,2,1000000,1999973
iterative,2,1111111,2222191
iterative,2,2000000,3999972
iterative,2,5000000,9999969
iterative,2,6666666,13333296
iterative,2,100000000,199999961
hillis-steele,2,10,40
hillis-steele,2,100,700
hillis-steele,2,1000000,20000000
hillis-steele,2,1111111,23333331
hillis-steele,2,2000000,42000000
hillis-steele,2,5000000,115000000
hillis-steele,2,6666666,153333318
hillis-steele,2,100000000,2700000000
reduction,2,10,10
reduction,2,100,100
reduction,2,1000000,1000000
reduction,2,1111111,1111111
reduction,2,2000000,2000000
reduction,2,5000000,5000000
reduction,2,6666666,6666666
reduction,2,100000000,100000000
