sequential reference,1,1000,0.000494
parallel bucket,32,1000,0.175068
parallel bucket,128,1000,0.772844
parallel bucket,256,1000,1.628976
parallel bucket,511,1000,1.622214
parallel bucket,512,1000,1.605036
sequential reference,1,10000,0.004561
parallel bucket,32,10000,0.171770
parallel bucket,128,10000,1.314497
parallel bucket,256,10000,3.847128
parallel bucket,511,10000,5.950719
parallel bucket,512,10000,6.041958
sequential reference,1,100000,0.020786
parallel bucket,32,100000,0.192320
parallel bucket,128,100000,1.314458
parallel bucket,256,100000,4.530840
parallel bucket,511,100000,9.450145
parallel bucket,512,100000,9.871441
sequential reference,1,1000000,0.244481
parallel bucket,32,1000000,0.200408
parallel bucket,128,1000000,1.436071
parallel bucket,256,1000000,4.927552
parallel bucket,511,1000000,17.372677
parallel bucket,512,1000000,17.465248
sequential reference,1,1111111,0.274114
parallel bucket,32,1111111,0.219462
parallel bucket,128,1111111,1.458616
parallel bucket,256,1111111,5.025181
parallel bucket,511,1111111,17.228047
parallel bucket,512,1111111,17.373409
sequential reference,1,10000000,2.722833
parallel bucket,32,10000000,0.392545
parallel bucket,128,10000000,1.693509
parallel bucket,256,10000000,5.464015
parallel bucket,511,10000000,17.569835
parallel bucket,512,10000000,18.273067
sequential reference,1,1000,0.000186
parallel bucket,32,1000,0.175094
parallel bucket,128,1000,0.775310
parallel bucket,256,1000,1.606852
parallel bucket,511,1000,1.615962
parallel bucket,512,1000,1.625169
sequential reference,1,10000,0.004685
parallel bucket,32,10000,0.178241
parallel bucket,128,10000,1.300160
parallel bucket,256,10000,3.848474
parallel bucket,511,10000,6.015085
parallel bucket,512,10000,5.977553
sequential reference,1,100000,0.020908
parallel bucket,32,100000,0.170859
parallel bucket,128,100000,1.311720
parallel bucket,256,100000,4.592840
parallel bucket,511,100000,9.513646
parallel bucket,512,100000,9.451532
sequential reference,1,1000000,0.244496
parallel bucket,32,1000000,0.224048
parallel bucket,128,1000000,1.330825
parallel bucket,256,1000000,5.004903
parallel bucket,511,1000000,17.371447
parallel bucket,512,1000000,17.317690
sequential reference,1,1111111,0.274136
parallel bucket,32,1111111,0.217743
parallel bucket,128,1111111,1.452547
parallel bucket,256,1111111,4.784479
parallel bucket,511,1111111,17.418835
parallel bucket,512,1111111,17.459603
sequential reference,1,10000000,2.725280
parallel bucket,32,10000000,0.389090
parallel bucket,128,10000000,1.576924
parallel bucket,256,10000000,5.252702
parallel bucket,511,10000000,18.031709
parallel bucket,512,10000000,18.053046
sequential reference,1,100000000,29.635376
parallel bucket,32,100000000,2.363244
parallel bucket,128,100000000,2.862102
parallel bucket,256,100000000,10.474559
parallel bucket,511,100000000,24.617840
parallel bucket,512,100000000,23.965970
sequential reference,1,1000,0.000496
parallel bucket,32,1000,0.167817
parallel bucket,128,1000,0.769809
parallel bucket,256,1000,1.517317
parallel bucket,511,1000,1.601008
parallel bucket,512,1000,1.636576
sequential reference,1,10000,0.004814
parallel bucket,32,10000,0.174542
parallel bucket,128,10000,1.333270
parallel bucket,256,10000,3.856535
parallel bucket,511,10000,6.015657
parallel bucket,512,10000,5.936724
sequential reference,1,100000,0.021163
parallel bucket,32,100000,0.177454
parallel bucket,128,100000,1.297276
parallel bucket,256,100000,4.496910
parallel bucket,511,100000,9.559480
parallel bucket,512,100000,9.774517
sequential reference,1,1000000,0.244627
parallel bucket,32,1000000,0.209584
parallel bucket,128,1000000,1.342803
parallel bucket,256,1000000,4.787541
parallel bucket,511,1000000,17.912719
parallel bucket,512,1000000,17.628237
sequential reference,1,1111111,0.273892
parallel bucket,32,1111111,0.216346
parallel bucket,128,1111111,1.437104
parallel bucket,256,1111111,4.811987
parallel bucket,511,1111111,17.330824
parallel bucket,512,1111111,17.443799
sequential reference,1,10000000,2.724473
parallel bucket,32,10000000,0.381720
parallel bucket,128,10000000,1.763368
parallel bucket,256,10000000,5.344910
parallel bucket,511,10000000,18.428137
parallel bucket,512,10000000,17.909631
sequential reference,1,100000000,29.748537
parallel bucket,32,100000000,2.455433
parallel bucket,128,100000000,3.408162
parallel bucket,256,100000000,6.473806
parallel bucket,511,100000000,24.462502
parallel bucket,512,100000000,24.092903
sequential reference,1,1000,0.000510
parallel bucket,32,1000,0.175703
parallel bucket,128,1000,0.753378
parallel bucket,256,1000,1.533668
parallel bucket,511,1000,1.645798
parallel bucket,512,1000,1.599154
sequential reference,1,10000,0.004970
parallel bucket,32,10000,0.181667
parallel bucket,128,10000,1.323858
parallel bucket,256,10000,3.900932
parallel bucket,511,10000,5.994991
parallel bucket,512,10000,6.018369
sequential reference,1,100000,0.020766
parallel bucket,32,100000,0.166505
parallel bucket,128,100000,1.309782
parallel bucket,256,100000,4.499052
parallel bucket,511,100000,9.598882
parallel bucket,512,100000,9.491629
sequential reference,1,1000000,0.245440
parallel bucket,32,1000000,0.187672
parallel bucket,128,1000000,1.361624
parallel bucket,256,1000000,4.974509
parallel bucket,511,1000000,17.436843
parallel bucket,512,1000000,17.392697
sequential reference,1,1111111,0.275242
parallel bucket,32,1111111,0.196094
parallel bucket,128,1111111,1.372066
parallel bucket,256,1111111,4.801090
parallel bucket,511,1111111,17.480908
parallel bucket,512,1111111,17.670704
sequential reference,1,10000000,2.720469
parallel bucket,32,10000000,0.398259
parallel bucket,128,10000000,1.738349
parallel bucket,256,10000000,5.376618
parallel bucket,511,10000000,17.952300
parallel bucket,512,10000000,17.841057
sequential reference,1,100000000,29.731444
parallel bucket,32,100000000,2.385064
parallel bucket,128,100000000,4.099950
parallel bucket,256,100000000,6.397888
parallel bucket,511,100000000,24.360335
parallel bucket,512,100000000,24.518521
sequential reference,1,1000,0.000186
parallel bucket,32,1000,0.170498
parallel bucket,128,1000,0.735841
parallel bucket,256,1000,1.555504
parallel bucket,511,1000,1.675918
parallel bucket,512,1000,1.592908
sequential reference,1,10000,0.004976
parallel bucket,32,10000,0.173902
parallel bucket,128,10000,1.339166
