parallel algorithm, hillis-steele,64,100,0.280960
parallel algorithm, MPI Exscan,128,100,0.246841
parallel algorithm, hillis-steele,128,100,0.094031
parallel algorithm, MPI Exscan,256,100,0.185131
parallel algorithm, hillis-steele,256,100,0.132726
parallel algorithm, MPI Exscan,511,100,0.183883
parallel algorithm, hillis-steele,511,100,0.173007
parallel algorithm, MPI Exscan,512,100,0.336811
parallel algorithm, hillis-steele,512,100,0.217388
sequential reference,1,1000000,0.011189
parallel algorithm, MPI Exscan,8,1000000,0.047632
parallel algorithm, hillis-steele,8,1000000,0.041374
parallel algorithm, MPI Exscan,16,1000000,0.079579
parallel algorithm, hillis-steele,16,1000000,0.073826
parallel algorithm, MPI Exscan,32,1000000,0.155583
parallel algorithm, hillis-steele,32,1000000,0.142576
parallel algorithm, MPI Exscan,64,1000000,0.322274
parallel algorithm, hillis-steele,64,1000000,0.293644
parallel algorithm, MPI Exscan,128,1000000,0.574127
parallel algorithm, hillis-steele,128,1000000,0.610110
parallel algorithm, MPI Exscan,256,1000000,1.196125
parallel algorithm, hillis-steele,256,1000000,1.232852
parallel algorithm, MPI Exscan,511,1000000,2.315931
parallel algorithm, hillis-steele,511,1000000,2.434606
parallel algorithm, MPI Exscan,512,1000000,2.416113
parallel algorithm, hillis-steele,512,1000000,2.433267
sequential reference,1,100000000,0.989711
parallel algorithm, MPI Exscan,8,100000000,0.477371
parallel algorithm, hillis-steele,8,100000000,0.492847
parallel algorithm, MPI Exscan,16,100000000,0.413428
parallel algorithm, hillis-steele,16,100000000,0.423109
parallel algorithm, MPI Exscan,32,100000000,0.434888
parallel algorithm, hillis-steele,32,100000000,0.446928
parallel algorithm, MPI Exscan,64,100000000,0.574267
parallel algorithm, hillis-steele,64,100000000,0.581593
parallel algorithm, MPI Exscan,128,100000000,0.866877
parallel algorithm, hillis-steele,128,100000000,0.899468
parallel algorithm, MPI Exscan,256,100000000,1.483435
parallel algorithm, hillis-steele,256,100000000,1.499223
parallel algorithm, MPI Exscan,511,100000000,2.308208
parallel algorithm, hillis-steele,511,100000000,2.314491
parallel algorithm, MPI Exscan,512,100000000,2.600212
parallel algorithm, hillis-steele,512,100000000,2.647284
sequential reference,1,111111111,1.093429
parallel algorithm, MPI Exscan,8,111111111,0.535987
parallel algorithm, hillis-steele,8,111111111,0.539294
parallel algorithm, MPI Exscan,16,111111111,0.433347
parallel algorithm, hillis-steele,16,111111111,0.447331
parallel algorithm, MPI Exscan,32,111111111,0.464334
parallel algorithm, hillis-steele,32,111111111,0.480449
parallel algorithm, MPI Exscan,64,111111111,0.608766
parallel algorithm, hillis-steele,64,111111111,0.614998
parallel algorithm, MPI Exscan,128,111111111,0.906036
parallel algorithm, hillis-steele,128,111111111,0.908498
parallel algorithm, MPI Exscan,256,111111111,1.517880
parallel algorithm, hillis-steele,256,111111111,1.336871
parallel algorithm, MPI Exscan,511,111111111,2.314291
parallel algorithm, hillis-steele,511,111111111,2.679918
parallel algorithm, MPI Exscan,512,111111111,2.664265
parallel algorithm, hillis-steele,512,111111111,2.420979
sequential reference,1,1000000000,10.312109
parallel algorithm, MPI Exscan,8,1000000000,5.232470
parallel algorithm, hillis-steele,8,1000000000,5.086253
parallel algorithm, MPI Exscan,16,1000000000,4.022901
parallel algorithm, hillis-steele,16,1000000000,4.024874
parallel algorithm, MPI Exscan,32,1000000000,3.589329
parallel algorithm, hillis-steele,32,1000000000,3.722935
parallel algorithm, MPI Exscan,64,1000000000,3.453992
parallel algorithm, hillis-steele,64,1000000000,3.344226
parallel algorithm, MPI Exscan,128,1000000000,3.464286
parallel algorithm, hillis-steele,128,1000000000,3.435577
parallel algorithm, MPI Exscan,256,1000000000,7.673864
parallel algorithm, hillis-steele,256,1000000000,7.694563
parallel algorithm, MPI Exscan,511,1000000000,31.438161
parallel algorithm, hillis-steele,511,1000000000,31.246122
parallel algorithm, MPI Exscan,512,1000000000,31.189074
parallel algorithm, hillis-steele,512,1000000000,31.752732
sequential reference,1,10,0.000002
parallel algorithm, MPI Exscan,8,10,0.040353
parallel algorithm, hillis-steele,8,10,0.041314
parallel algorithm, MPI Exscan,16,10,0.069791
parallel algorithm, hillis-steele,16,10,0.043693
parallel algorithm, MPI Exscan,32,10,0.140571
parallel algorithm, hillis-steele,32,10,0.052110
